O,D,weight
2300754,2304285,977.0
2300754,2304350,703.0
2300754,2304400,9536.0
2300754,2304459,16.0
2300754,2304608,14.0
2300754,2304707,75.0
2300754,2304954,6.0
2300754,2305001,2.0
2300754,2305233,469.0
2300754,2305357,42.0
2300754,2305506,8.0
2300754,2306108,295.0
2300754,2306207,63.0
2300754,2306256,307.0
2300754,2306306,501.0
2300754,2306405,5278.0
2300754,2306553,3231.0
2300754,2306801,7.0
2300754,2306900,12.0
2300754,2307007,180.0
2300754,2307254,520.0
2300754,2307304,78.0
2300754,2307403,3.0
2300754,2307502,542.0
2300754,2307601,29.0
2300754,2307650,3075.0
2300754,2307700,271.0
2300754,2307809,506.0
2300754,2308005,45.0
2300754,2308377,1183.0
2300754,2308708,388.0
2300754,2308906,690.0
2300754,2309003,117.0
2300754,2309300,66.0
2300754,2309508,17.0
2300754,2309607,14.0
2300754,2309706,77.0
2300754,2310209,142.0
2300754,2310258,51.0
2300754,2310704,120.0
2300754,2310803,34.0
2300754,2311306,43.0
2300754,2311801,17.0
2300754,2312007,104.0
2300754,2312205,126.0
2300754,2312304,11.0
2300754,2312403,245.0
2300754,2312601,43.0
2300754,2312700,15.0
2300754,2312908,1972.0
2300754,2313203,2.0
2300754,2313351,160.0
2300754,2313401,54.0
2300754,2313500,826.0
2300754,2313559,303.0
2300754,2313757,123.0
2300754,2313807,69.0
2300754,2313955,8.0
2300754,2314003,382.0
2300804,2300408,67.0
2300804,2301000,233.0
2300804,2301604,338.0
2300804,2301901,288.0
2300804,2302701,18.0
2300804,2303709,104.0
2300804,2304202,495.0
2300804,2304285,68.0
2300804,2304400,956.0
2300804,2305506,185.0
2300804,2306256,43.0
2300804,2307304,1740.0
2300804,2307403,65.0
2300804,2307650,462.0
2300804,2308104,37.0
2300804,2308708,138.0
2300804,2309201,28.0
2300804,2310308,6.0
2300804,2311900,199.0
2300804,2312106,20.0
2300804,2313005,4.0
2300804,2313252,104.0
2300804,2313302,5.0
2300804,2313401,12.0
2300903,2300150,2.0
2300903,2300200,15.0
2300903,2301000,300.0
2300903,2301109,6.0
2300903,2302107,9.0
2300903,2302404,47.0
2300903,2302503,101.0
2300903,2302800,10.0
2300903,2303501,8.0
2300903,2303709,363.0
2300903,2303808,22.0
2300903,2304202,17.0
2300903,2304285,415.0
2300903,2304400,2294.0
2300903,2304608,1164.0
2300903,2304954,6.0
2300903,2305233,31.0
2300903,2306108,5.0
2300903,2306256,65.0
2300903,2306306,339.0
2300903,2306405,397.0
2300903,2306553,2.0
2300903,2307007,2.0
2300903,2307304,39.0
2300903,2307650,1248.0
2300903,2307700,21.0
2300903,2308708,191.0
2300903,2309607,6.0
2300903,2310209,34.0
2300903,2310258,114.0
2300903,2310407,52.0
2300903,2310704,2073.0
2300903,2311306,44.0
2300903,2312403,21.0
2300903,2312908,144.0
2300903,2313302,17.0
2300903,2313351,986.0
2300903,2313401,52.0
2300903,2313500,95.0
2300903,2313757,5.0
2301000,2300101,2361.0
2301000,2300150,6575.0
2301000,2300200,24253.0
2301000,2300309,17910.0
2301000,2300408,5138.0
2301000,2300507,6387.0
2301000,2300606,2792.0
2301000,2300705,7847.0
2301000,2300754,17627.0
2301000,2300804,3155.0
2301000,2300903,8471.0
